sample,mse_llm,mse_naive,mse_ma
0,1.4291998237413583,1.054549566078359,0.9432503944340785
1,0.8406771434741808,1.7829968666216551,2.1953008405507717
2,2.2976010996911076,3.346769403238024,1.7891335259585768
3,4.5653386337944655,8.15437437569261,1.8915628924309607
4,8.004130203089476,1.7888473409539076,7.238582804489852
5,3.752576137544345,1.4946414276625715,1.8279854020371469
6,6.87897709249788,2.4258104769857494,2.0166406892705946
7,5.365351490399448,8.898046201366517,3.8555974235622155
8,0.8932813849904941,0.3315642223510751,0.7561201322776713
9,5.855985244825667,5.844425098071938,10.694301423751826
