question_id,actual,llm_pred,super_pred,public_pred,brier_llm,brier_super,brier_public
4c98ccd0d64f8cad6896b50e8131b7173dcc95e40e1492413d69a7bf75d3328c,0.0,0.7,0.42124999999999996,0.43267897727272725,0.48999999999999994,0.17745156249999997,0.18721109737377323
6427,0.0,0.24,0.8950000000000001,0.5816666666666667,0.0576,0.8010250000000002,0.3383361111111111
AXdiGoQlSHAH9vzCVAN1,1.0,0.24,0.5,0.5,0.5776,0.25,0.25
CCL,1.0,0.65,0.5623729166666668,0.4336466346153846,0.12249999999999998,0.19151746406684017,0.3207561344824796
9338de937aee2ca6a5a892e879683a60310ddb3a4f16c3b352056b450abce9e4,1.0,0.76,0.5,0.5,0.0576,0.25,0.25
0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357,0.0,0.35,0.08384615384615383,0.3671153846153846,0.12249999999999998,0.007030177514792897,0.13477370562130178
0xd9773233f3dd345b0cf99b4338e9663dee025c76bcdae2d8f11efb4327a3566d,0.0,0.3,0.10285714285714286,0.3080909090909091,0.09,0.010579591836734693,0.0949200082644628
1353,0.0,0.24,0.3095497458176471,0.4568403846153846,0.0576,0.09582104513576993,0.20870313701553256
HUBB,0.0,0.88,0.5,0.5,0.7744,0.25,0.25
6456,0.0,0.5,0.5,0.5,0.25,0.25,0.25
bb2e00debc6f7f58dec5ffafb4472f91e4e8fbca267c918cd3f16c8c8dc57591,0.0,0.3,0.5,0.5,0.09,0.25,0.25
BAMLH0A2HYB,0.0,0.5,0.495,0.24746711956521739,0.25,0.245025,0.0612399752659056
15010,0.0,0.76,0.5,0.5,0.5776,0.25,0.25
BAMLH0A0HYM2EY,0.0,0.55,0.5,0.5,0.30250000000000005,0.25,0.25
meteofrance_TEMPERATURE_celsius.07481.D,0.0,0.24,0.4634375,0.463681774122807,0.0576,0.21477431640625,0.21500078765367378
cNmTnf0Q0OqH2clJS26c,0.0,0.2,0.9217857142857141,0.721923076923077,0.04000000000000001,0.8496889030612241,0.521172928994083
YREnvVjBXi5qQFCQhzSv,0.0,0.5,0.5,0.5,0.25,0.25,0.25
20895,1.0,0.24,0.053333333333333344,0.33879999999999993,0.5776,0.8961777777777777,0.43718544000000004
0xf16beeed75c5f75a6bec765511631c5f145b0328d20a29d4f73b1f7f3dbf8657,0.0,0.4,0.5,0.5,0.16000000000000003,0.25,0.25
0xa05e93dbcfefc56ee0ab0151512dccaae63840650eaae9ed8a89d5dcbe238f22,1.0,0.85,0.9884117647058824,0.6853658536585365,0.022500000000000006,0.00013428719723183202,0.09899464604402146
